record_type,team,source_player,target_player,connection_strength,avg_x_start,avg_y_start,avg_x_end,avg_y_end,avg_xthreat,progressive_passes,box_entries,pass_distance_avg,connection_id,total_actions,minutes_active,position_variance_x,position_variance_y,xthreat_total
connection,Inter Miami,Telasco Segovia,Yannick Bright,1,65.1,86.1,60.4,86.4,0.0055,0,0,4.71,Inter Miami_Telasco Segovia_Yannick Bright,,,,,
connection,Inter Miami,Yannick Bright,Jordi Alba,1,55.1,46.7,56.8,87.8,0.3701,0,0,41.14,Inter Miami_Yannick Bright_Jordi Alba,,,,,
connection,Inter Miami,Yannick Bright,Noah Allen,1,60.4,86.4,39.0,83.7,-0.2671,0,0,21.57,Inter Miami_Yannick Bright_Noah Allen,,,,,
connection,Inter Miami,Yannick Bright,Sergio Busquets,1,54.7,79.7,43.5,67.5,-0.2062,0,0,16.56,Inter Miami_Yannick Bright_Sergio Busquets,,,,,
connection,Vancouver,Ali Ahmed,Andrés Cubas,4,61.28,95.28,54.75,78.6,-0.1404,0,0,18.16,Vancouver_Ali Ahmed_Andrés Cubas,,,,,
connection,Vancouver,Ali Ahmed,Brian White,1,73.0,74.8,80.7,67.5,-0.1064,1,0,10.61,Vancouver_Ali Ahmed_Brian White,,,,,
connection,Vancouver,Ali Ahmed,Mathías Laborda,5,60.4,95.04,53.92,94.0,-0.0403,0,0,10.42,Vancouver_Ali Ahmed_Mathías Laborda,,,,,
connection,Vancouver,Ali Ahmed,Ralph Priso,2,40.1,92.6,28.0,83.8,-0.174,0,0,15.6,Vancouver_Ali Ahmed_Ralph Priso,,,,,
connection,Vancouver,Ali Ahmed,Sebastian Berhalter,4,65.45,66.95,73.5,54.45,-0.1462,2,1,16.84,Vancouver_Ali Ahmed_Sebastian Berhalter,,,,,
connection,Vancouver,Ali Ahmed,Thomas Müller,2,75.85,92.8,76.15,76.6,-0.1721,1,1,16.44,Vancouver_Ali Ahmed_Thomas Müller,,,,,
connection,Vancouver,Andrés Cubas,Ali Ahmed,4,56.92,63.72,61.32,72.5,0.14,0,0,23.67,Vancouver_Andrés Cubas_Ali Ahmed,,,,,
connection,Vancouver,Andrés Cubas,Emmanuel Sabbi,3,54.03,48.03,61.87,20.0,-0.0544,0,0,29.72,Vancouver_Andrés Cubas_Emmanuel Sabbi,,,,,
connection,Vancouver,Andrés Cubas,Mathías Laborda,15,49.35,54.61,52.59,85.05,0.2468,0,0,31.01,Vancouver_Andrés Cubas_Mathías Laborda,,,,,
connection,Vancouver,Andrés Cubas,Ralph Priso,13,46.05,63.85,43.1,70.3,0.0149,0,0,18.33,Vancouver_Andrés Cubas_Ralph Priso,,,,,
connection,Vancouver,Andrés Cubas,Sebastian Berhalter,12,52.13,61.71,51.78,55.14,-0.0581,1,1,15.26,Vancouver_Andrés Cubas_Sebastian Berhalter,,,,,
connection,Vancouver,Andrés Cubas,Thomas Müller,4,50.7,65.28,58.12,55.15,-0.0241,0,0,14.99,Vancouver_Andrés Cubas_Thomas Müller,,,,,
connection,Vancouver,Andrés Cubas,Tristan Blackmon,15,47.64,57.1,46.28,38.55,-0.0911,0,0,20.2,Vancouver_Andrés Cubas_Tristan Blackmon,,,,,
connection,Vancouver,Andrés Cubas,Édier Ocampo,4,54.0,36.25,61.58,4.97,-0.0587,0,0,32.58,Vancouver_Andrés Cubas_Édier Ocampo,,,,,
connection,Vancouver,Brian White,Sebastian Berhalter,3,49.27,48.37,33.87,41.27,-0.0671,0,0,24.59,Vancouver_Brian White_Sebastian Berhalter,,,,,
connection,Vancouver,Brian White,Thomas Müller,3,81.8,60.17,78.6,61.23,0.0263,0,0,4.43,Vancouver_Brian White_Thomas Müller,,,,,
connection,Vancouver,Brian White,Tristan Blackmon,1,50.2,50.0,33.8,38.9,-0.088,0,0,19.8,Vancouver_Brian White_Tristan Blackmon,,,,,
connection,Vancouver,Emmanuel Sabbi,Andrés Cubas,4,62.28,41.1,57.72,55.78,0.0598,0,0,21.93,Vancouver_Emmanuel Sabbi_Andrés Cubas,,,,,
connection,Vancouver,Emmanuel Sabbi,Brian White,1,75.5,17.1,82.3,39.7,0.0232,1,0,23.6,Vancouver_Emmanuel Sabbi_Brian White,,,,,
connection,Vancouver,Emmanuel Sabbi,Joedrick Pupe,1,75.8,85.4,61.5,75.7,0.0662,0,0,17.28,Vancouver_Emmanuel Sabbi_Joedrick Pupe,,,,,
connection,Vancouver,Emmanuel Sabbi,Kenji Cabrera,1,60.6,97.1,63.5,82.9,-0.2187,0,0,14.49,Vancouver_Emmanuel Sabbi_Kenji Cabrera,,,,,
connection,Vancouver,Emmanuel Sabbi,Mathías Laborda,1,54.0,34.0,53.5,72.1,0.2117,0,0,38.1,Vancouver_Emmanuel Sabbi_Mathías Laborda,,,,,
connection,Vancouver,Emmanuel Sabbi,Sebastian Berhalter,3,67.47,16.13,65.13,32.27,0.0356,0,0,16.31,Vancouver_Emmanuel Sabbi_Sebastian Berhalter,,,,,
connection,Vancouver,Emmanuel Sabbi,Thomas Müller,3,59.3,3.8,63.4,10.47,0.0111,1,0,10.55,Vancouver_Emmanuel Sabbi_Thomas Müller,,,,,
connection,Vancouver,Emmanuel Sabbi,Tristan Blackmon,3,54.37,18.4,47.0,22.57,-0.0171,0,0,16.29,Vancouver_Emmanuel Sabbi_Tristan Blackmon,,,,,
connection,Vancouver,Emmanuel Sabbi,Édier Ocampo,5,69.26,14.62,70.56,16.06,-0.0046,1,0,16.41,Vancouver_Emmanuel Sabbi_Édier Ocampo,,,,,
