minute,second,player,team,x,y,end_x,end_y,pass_distance,is_progressive,is_successful,is_cross,is_through_ball,field_zone,pass_length
18,9.0,Pau Cubarsí,Barcelona,8.9,74.4,12.4,84.3,10.5,False,False,False,False,Defensive_Right,
18,27.0,Alejandro Balde,Barcelona,7.7,100.0,36.9,81.9,34.4,True,False,False,False,Defensive_Right,
18,29.0,Unai Núñez,Athletic Club,61.3,9.1,72.5,3.4,12.6,True,True,False,False,Middle_Left,
18,30.0,Alex Berenguer,Athletic Club,72.6,3.4,66.6,3.1,6.0,False,False,False,False,Attacking_Left,
18,31.0,Raphinha,Barcelona,33.2,88.5,31.0,100.0,11.7,False,False,False,False,Defensive_Right,
18,46.0,Óscar De Marcos,Athletic Club,72.2,0.0,58.9,3.4,13.7,False,True,False,False,Attacking_Left,
18,49.0,Íñigo Ruíz de Galarreta,Athletic Club,51.0,4.3,27.9,31.6,35.8,False,True,False,False,Middle_Left,
18,53.0,Unai Núñez,Athletic Club,27.3,34.3,17.8,48.7,17.3,False,True,False,False,Defensive_Center,
18,59.0,Unai Simón,Athletic Club,19.9,57.0,67.0,45.8,48.4,True,True,False,False,Defensive_Center,
19,50.0,Íñigo Ruíz de Galarreta,Athletic Club,69.1,40.7,91.0,62.2,30.7,True,True,False,False,Attacking_Center,
20,23.0,Ronald Araújo,Barcelona,22.7,44.2,31.0,19.7,25.9,False,True,False,False,Defensive_Center,
20,24.0,Eric García,Barcelona,31.1,17.3,26.2,27.7,11.5,False,True,False,False,Defensive_Left,
20,26.0,Ronald Araújo,Barcelona,25.5,28.6,9.5,50.0,26.7,False,True,False,False,Defensive_Left,
20,29.0,Iñaki Peña,Barcelona,9.3,50.0,15.8,49.0,6.6,False,True,False,False,Defensive_Center,
20,30.0,Pedri,Barcelona,13.2,48.7,12.4,30.4,18.3,False,True,False,False,Defensive_Center,
20,37.0,Ronald Araújo,Barcelona,13.2,24.8,18.0,5.2,20.2,False,True,False,False,Defensive_Left,
20,39.0,Eric García,Barcelona,17.4,5.8,25.4,9.5,8.8,False,True,False,False,Defensive_Left,
20,41.0,Pedri,Barcelona,25.5,8.9,32.2,22.0,14.7,False,True,False,False,Defensive_Left,
21,0.0,Ronald Araújo,Barcelona,25.2,28.4,29.6,37.6,10.2,False,True,False,False,Defensive_Left,
21,1.0,Gavi,Barcelona,28.6,47.0,25.7,27.2,20.0,False,True,False,False,Defensive_Center,
21,3.0,Ronald Araújo,Barcelona,25.7,27.1,31.0,33.7,8.5,False,True,False,False,Defensive_Left,
21,3.0,Fermín López,Barcelona,31.7,33.5,28.6,44.5,11.4,False,True,False,False,Defensive_Center,
21,6.0,Gavi,Barcelona,30.0,51.0,32.0,90.0,39.1,False,True,False,False,Defensive_Center,
21,10.0,Alejandro Balde,Barcelona,32.3,93.0,22.1,71.6,23.7,False,True,False,False,Defensive_Right,
21,12.0,Pau Cubarsí,Barcelona,14.0,70.4,32.0,52.2,25.6,True,True,False,False,Defensive_Right,
21,18.0,Pedri,Barcelona,32.6,44.2,38.6,8.8,35.9,False,True,False,False,Defensive_Center,
21,27.0,Nico Williams,Athletic Club,80.9,72.8,84.2,52.2,20.9,False,False,False,False,Attacking_Right,
21,30.0,Gavi,Barcelona,25.8,43.0,23.0,22.1,21.1,False,True,False,False,Defensive_Center,
21,35.0,Pedri,Barcelona,33.3,11.9,34.1,8.5,3.5,False,True,False,False,Defensive_Left,
21,35.0,Lamine Yamal,Barcelona,34.4,8.2,34.4,18.4,10.2,False,True,False,False,Middle_Left,
21,38.0,Gavi,Barcelona,34.5,20.2,34.8,40.7,20.5,False,True,False,False,Middle_Left,
21,38.0,Fermín López,Barcelona,34.8,41.6,42.0,35.3,9.6,False,True,False,False,Middle_Center,
21,39.0,Robert Lewandowski,Barcelona,42.0,35.3,37.5,49.3,14.7,False,True,False,False,Middle_Center,
21,42.0,Fermín López,Barcelona,45.5,55.7,58.8,80.7,28.3,True,False,False,False,Middle_Center,
21,47.0,Raphinha,Barcelona,39.6,92.6,29.7,72.0,22.9,False,True,False,False,Middle_Right,
21,50.0,Pau Cubarsí,Barcelona,27.4,70.1,33.7,54.0,17.3,False,True,False,False,Defensive_Right,
22,1.0,Gavi,Barcelona,47.9,68.0,48.4,88.4,20.4,False,True,False,False,Middle_Right,
22,5.0,Alejandro Balde,Barcelona,55.3,74.3,45.2,56.6,20.4,False,True,False,False,Middle_Right,
22,8.0,Pedri,Barcelona,45.3,51.5,51.3,23.5,28.6,False,True,False,False,Middle_Center,
22,11.0,Eric García,Barcelona,51.3,23.5,56.4,14.9,10.0,False,True,False,False,Middle_Left,
22,11.0,Lamine Yamal,Barcelona,57.4,15.7,44.0,19.3,13.9,False,True,False,False,Middle_Left,
22,14.0,Eric García,Barcelona,41.6,15.7,35.5,40.0,25.1,False,True,False,False,Middle_Left,
22,17.0,Ronald Araújo,Barcelona,36.0,39.8,48.1,47.9,14.6,True,True,False,False,Middle_Center,
22,20.0,Gavi,Barcelona,46.8,47.9,72.1,87.6,47.1,True,False,False,False,Middle_Center,
22,22.0,Óscar De Marcos,Athletic Club,25.4,13.6,29.9,27.7,14.8,False,True,False,False,Defensive_Left,
22,27.0,Unai Núñez,Athletic Club,30.7,29.8,34.4,47.6,18.2,False,True,False,False,Defensive_Left,
22,28.0,Mikel Jauregizar,Athletic Club,35.0,47.6,62.8,94.7,54.7,True,True,False,False,Middle_Center,
22,37.0,Nico Williams,Athletic Club,75.0,76.7,84.6,47.8,30.5,False,False,False,False,Attacking_Right,
22,49.0,Mikel Jauregizar,Athletic Club,48.2,98.3,27.0,98.1,21.2,False,True,False,False,Middle_Right,
22,54.0,Yuri Berchiche,Athletic Club,27.6,93.0,23.0,73.8,19.7,False,True,False,False,Defensive_Right,
22,56.0,Aitor Paredes,Athletic Club,24.0,71.7,23.4,44.8,26.9,False,True,False,False,Defensive_Right,
22,59.0,Unai Núñez,Athletic Club,27.9,46.9,32.1,14.5,32.7,False,True,False,False,Defensive_Center,
23,4.0,Óscar De Marcos,Athletic Club,27.3,18.7,32.8,37.9,20.0,False,True,False,False,Defensive_Left,
23,11.0,Íñigo Ruíz de Galarreta,Athletic Club,55.7,8.6,84.2,3.7,28.9,True,True,False,False,Middle_Left,
