player,team,x,y,end_x,end_y,minute,second,is_successful,outcome_type,field_x,field_y,field_end_x,field_end_y,pass_distance
Aitor Paredes,Athletic Club,32.5,55.8,39.8,68.9,12,1.0,True,Successful,34.125,37.943999999999996,41.79,46.852000000000004,11.751795139466997
Yuri Berchiche,Athletic Club,37.8,100.0,26.1,94.8,12,33.0,True,Successful,39.69,68.0,27.405,64.464,12.783760049375141
Eric García,Barcelona,55.3,0.0,44.6,35.8,12,46.0,True,Successful,58.06499999999999,0.0,46.83,24.343999999999998,26.811481887430237
Pau Cubarsí,Barcelona,45.3,56.3,45.5,37.3,12,51.0,True,Successful,47.565,38.284,47.775,25.364,12.92170654364198
Gavi,Barcelona,46.5,48.4,48.5,89.3,12,55.0,True,Successful,48.825,32.912,50.925,60.724000000000004,27.891169642021115
Maroan Sannadi,Athletic Club,53.7,16.6,45.3,22.9,13,0.0,True,Successful,56.385000000000005,11.288,47.565,15.572,9.80535853500524
Alex Berenguer,Athletic Club,47.7,25.4,40.5,10.7,13,1.0,True,Successful,50.085,17.272,42.525000000000006,7.276,12.532901340072852
Óscar De Marcos,Athletic Club,39.8,6.1,47.2,32.5,13,3.0,True,Successful,41.79,4.148,49.56,22.1,19.561370197406934
Mikel Jauregizar,Athletic Club,47.2,32.5,58.8,33.1,13,5.0,True,Successful,49.56,22.1,61.739999999999995,22.508000000000003,12.18683158167043
Pedri,Barcelona,30.5,61.2,53.6,52.8,13,29.0,True,Successful,32.025,41.616,56.28,35.904,24.91850655637292
Fermín López,Barcelona,66.5,52.6,81.9,59.3,13,30.0,True,Successful,69.825,35.768,85.995,40.324,16.79958439962132
Unai Gómez,Athletic Club,50.1,50.0,27.8,42.7,14,39.0,True,Successful,52.605,34.0,29.19,29.036,23.935403088312505
Alejandro Balde,Barcelona,13.3,82.2,5.9,56.3,14,43.0,True,Successful,13.965,55.896,6.195,38.284,19.249816726400283
Iñaki Peña,Barcelona,4.3,46.7,42.0,10.7,14,46.0,True,Successful,4.515,31.756,44.1,7.276,46.54291165150715
Nico Williams,Athletic Club,70.9,76.4,85.5,74.9,14,51.0,True,Successful,74.44500000000001,51.952,89.77499999999999,50.93200000000001,15.363895990275367
